old_name,new_id
Dearborn St & Monroe St,49
Delano Ct & Roosevelt Rd,626
Desplaines St & Jackson Blvd,107
Desplaines St & Kinzie St,56
Desplaines St & Randolph St,96
DIVVY CASSETTE REPAIR MOBILE STATION,361
Dodge Ave & Main St,625
Dorchester Ave & 49th St,416
Dorchester Ave & 63rd St,428
Doty Ave & 111th St,742
Drake Ave & Addison St,489
Drake Ave & Montrose Ave,479
Dusable Harbor,6
DuSable Lake Shore Dr & Belmont Ave,334
DuSable Lake Shore Dr & Diversey Pkwy,329
DuSable Lake Shore Dr & Monroe St,76
DuSable Lake Shore Dr & North Blvd,268
DuSable Lake Shore Dr & Wellington Ave,157
DuSable Museum,422
East End Ave & 87th St,686
Eberhart Ave & 131st St,716
Eberhart Ave & 61st St,431
Eberhart Ave & 91st St,682
Eckhart Park,86
Eggleston Ave & 92nd St,691
Elizabeth (May) St & Fulton St,217
Elizabeth St & 92nd St,689
Ellis Ave & 53rd St,418
Ellis Ave & 55th St,420
Ellis Ave & 58th St,328
Ellis Ave & 60th St,426
Elston Ave & Cortland St,58
Elston Ave & Cortland St,58
Elston Ave & Wabansia Ave,315
Emerald Ave & 28th St,207
Emerald Ave & 31st St,339
Ewing Ave & Burnham Greenway,718
Fairbanks Ct & Grand Ave,24
Fairbanks St & Superior St,635
Fairfield Ave & Roosevelt Rd,436
Federal St & Polk St,41
Field Blvd & South Water St,7
Field Museum,97
Financial Pl & Ida B Wells Dr,89
Fort Dearborn Dr & 31st St,150
Francisco Ave & Foster Ave,471
Franklin St & Adams St (Temp),286
Franklin St & Chicago Ave,31
Franklin St & Illinois St,672
Franklin St & Jackson Blvd,36
Franklin St & Lake St,164
Franklin St & Monroe St,287
Glenwood Ave & Morse Ave,447
Green St & Madison St,198
Green St & Randolph St,112
Greenview Ave & Diversey Pkwy,319
Greenview Ave & Fullerton Ave,188
Greenwood Ave & 47th St,252
Greenwood Ave & 91st St,702
Greenwood Ave & 97th St,703
Hale Ave & 107th St,723
Halsted & 63rd - Kennedy-King Vaccination Site,388
Halsted St & 104th St,725
Halsted St & 111th St,711
Halsted St & 18th St,202
Halsted St & 18th St (Temp),202
Halsted St & 21st St,135
Halsted St & 35th St,279
Halsted St & 37th St,262
Halsted St & 47th Pl,411
Halsted St & 51st St,384
Halsted St & 56th St,386
Halsted St & 63rd St,388
Halsted St & 69th St,391
Halsted St & 73rd St,678
Halsted St & 78th St,681
Halsted St & 96th St,700
Halsted St & Archer Ave,206
Halsted St & Dickens Ave,225
Halsted St & Maxwell St,282
Halsted St & North Branch St,365
Halsted St & Polk St,108
Halsted St & Roosevelt Rd,55
Halsted St & Roscoe St,299
Halsted St & Willow St,224
Halsted St & Wrightwood Ave,349
Hampden Ct & Diversey Ave,1521690221159885714
Harding Ave & 26th St,1561012874421056046
Harper Ave & 59th St,425
Hegewisch Metra Station,732
Hermitage Ave & Polk St,261
Homan Ave & Fillmore St,1561012891600925250
Homewood Ave & 115th St,724
Honore St & Division St,17
Houston Ave & 92nd St,694
Hoyne Ave & 47th St,551
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),671
hubbard_test_lws,671
Humboldt Blvd & Armitage Ave,507
Indiana Ave & 103rd St,696
Indiana Ave & 133rd St,1448642188027369086
Indiana Ave & 26th St,147
Indiana Ave & 31st St,272
Indiana Ave & 40th St,201
Indiana Ave & Roosevelt Rd,255
Jefferson St & Monroe St,73
Jeffery Blvd & 67th St,352
Jeffery Blvd & 71st St,11
Jeffery Blvd & 76th St,395
Kedzie Ave & 104th St,1521679584953491780
Kedzie Ave & 110th St,736
Kedzie Ave & 21st St,439
Kedzie Ave & 24th St,441
Kedzie Ave & Bryn Mawr Ave,494
Kedzie Ave & Chicago Ave,373
Kedzie Ave & Foster Ave,470
Kedzie Ave & Harrison St,433
Kedzie Ave & Lake St,377
Kedzie Ave & Leland Ave,476
Kedzie Ave & Milwaukee Ave,260
Kedzie Ave & Palmer Ct,290
Kedzie Ave & Roosevelt Rd,435
Keeler Ave & Roosevelt Rd,1561012870126088746
Kenosha & Wellington,1563698705501259786
Keystone Ave & Fullerton Ave,619
Keystone Ave & Montrose Ave,495
Kilbourn & Roscoe,1563698701206292486
Kilbourn Ave & Milwaukee Ave,591
Kildare Ave & 26th St,1561012895895892548
Kildare Ave & Montrose Ave,630
Kimball Ave & Belmont Ave,497
Kimbark Ave & 53rd St,322
Kingsbury St & Erie St,74
Kingsbury St & Kinzie St,133
Komensky Ave & 31st St,1561012883010990646
Kosciuszko Park,499
Laflin St & Cullerton St,208
Lake Park Ave & 35th St,406
Lake Park Ave & 47th St,267
Lake Park Ave & 53rd St,419
Lake Park Ave & 56th St,345
Lake Shore Dr & Belmont Ave,334
Lake Shore Dr & Diversey Pkwy,329
Lake Shore Dr & Monroe St,76
Lake Shore Dr & North Blvd,268
Lake Shore Dr & Wellington Ave,157
