id,name
13296,Ashland Ave & Wrightwood Ave
13300,DuSable Lake Shore Dr & Monroe St
13300,Lake Shore Dr & Monroe St
13303,Clark St & Chicago Ave
13304,Racine Ave & 15th St
13307,Laflin St & Cullerton St
13319,Ashland Ave & Grace St
13323,Broadway & Sheridan Rd
13325,Broadway & Waveland Ave
13326,Canal St & Harrison St
13331,May St & Cullerton St
13332,Loomis St & Lexington St
13338,Mies van der Rohe Way & Chicago Ave
13341,Canal St & Madison St
13345,Calumet Ave & 35th St
13353,Ada St & Washington Blvd
13354,Ashland Ave & 13th St
13379,Clarendon Ave & Gordon Ter
13389,Clarendon Ave & Junior Ter
13398,Blackstone Ave & Hyde Park Blvd
13409,Sangamon St & Washington Blvd
13420,MLK Jr Dr & Pershing Rd
13427,Cityfront Plaza Dr & Pioneer Ct
13430,LaSalle St & Illinois St
13431,Adler Planetarium
13432,Wood St & Hubbard St
13434,Ashland Ave & Grand Ave
15442,Ashland Ave & Archer Ave
15443,Shields Ave & 28th Pl
15445,Wentworth Ave & 33rd St
15446,Racine Ave & 35th St
15449,State St & Pershing Rd
15470,Calumet Ave & 51st St
15491,63rd St Beach
15529,Mies van der Rohe Way & Chestnut St
15530,Rush St & Superior St
15534,Field Blvd & South Water St
15535,Desplaines St & Randolph St
15539,Desplaines St & Jackson Blvd
15541,Buckingham Fountain
15542,Clinton St & Polk St
15544,Shedd Aquarium
15545,Burnham Harbor
15546,Calumet Ave & 21st St
15550,Canal St & Taylor St
15571,Broadway & Granville Ave
15575,Broadway & Thorndale Ave
15578,Broadway & Ridge Ave
15585,Budlong Woods Library
15597,Halsted St & 69th St
15599,Calumet Ave & 71st St
15615,Christiana Ave & Lawrence Ave
15621,Albany Ave & Montrose Ave
15622,California Ave & Montrose Ave
15623,Campbell Ave & Montrose Ave
15624,Avondale Ave & Irving Park Rd
15628,California Ave & Byron St
15631,Troy St & Elston Ave
15632,Talman Ave & Addison St
15634,Western Ave & Roscoe St
15640,Avers Ave & Belmont Ave
15642,California Ave & Fletcher St
15643,Kosciuszko Park
15644,Central Park Ave & Elbridge Ave
15645,Richmond St & Diversey Ave
15646,California Ave & Altgeld St
15648,Campbell Ave & Fullerton Ave
15650,Spaulding Ave & Armitage Ave
15651,Humboldt Blvd & Armitage Ave
15652,Central Park Ave & North Ave
15653,Troy St & North Ave
15654,Spaulding Ave & Division St
15655,Albany Ave & Bloomingdale Ave
15664,Artesian Ave & Hubbard St
15666,California Ave & Lake St
15667,Western Ave & Monroe St
15668,Western Ave & Congress Pkwy
15682,Kedzie Ave & Roosevelt Rd
15685,Central Park Ave & Ogden Ave
15686,Kedzie Ave & 21st St
15687,Central Park Ave & 24th St
15689,California Ave & 23rd Pl
15691,Albany Ave & 26th St
15692,California Ave & 26th St
16010,Keystone Ave & Fullerton Ave
16806,Bosworth Ave & Howard St
16903,Cicero Ave & Lake St
16905,Central Ave & Lake St
16906,Austin Blvd & Lake St
16907,Central Park Blvd & 5th Ave
16912,Cicero Ave & Flournoy St
16913,Cicero Ave & Quincy St
16915,Central Ave & Harrison St
16916,Central Ave & Madison St
16918,Austin Blvd & Madison St
16920,Central Ave & Chicago Ave
16921,Austin Blvd & Chicago Ave
16932,Ashland Ave & Pershing Rd
16933,Morgan St & Pershing Rd
16937,Ashland Ave & McDowell Ave
16940,Ashland Ave & 50th St
16943,Ashland Ave & Garfield Blvd
16948,Ashland Ave & 63rd St
16950,Ashland Ave & 66th St
16953,Vincennes Ave & 75th St
16970,Bennett Ave & 79th St
16991,Milwaukee Ave & Cuyler Ave
16994,Kilbourn Ave & Milwaukee Ave
17660,California Ave & Cortez St
18003,Fairbanks St & Superior St
18016,Bernard St & Elston Ave
18017,Central Park Ave & Bloomingdale Ave
18022,Archer (Damen) Ave & 37th St
18025,Carpenter St & 63rd St
18058,Leavitt St & Chicago Ave
18062,Aberdeen St & Randolph St
18067,Walsh Park
18069,Cherry Ave & Blackhawk St
20101,Summit Ave & 86th St
20102,Loomis St & 89th St
20103,Prospect Sq & 91st St
20104,State St & 95th St
20105,Halsted St & 96th St
20106,Chicago State University
20107,Walden Pkwy & 100th St
20108,Hale Ave & 107th St
20109,Vernon Ave & 107th St
20110,Eberhart Ave & 91st St
20111,Olive Harvey College
20112,Indiana Ave & 103rd St
20113,Dauphin Ave & 103rd St
20114,Doty Ave & 111th St
20116,Dauphin Ave & 87th St
20118,Eggleston Ave & 92nd St
20119,Elizabeth St & 92nd St
20120,Stewart Ave & 83rd St
20121,Loomis Blvd & 84th St
20123,Western Ave & 104th St
20124,Vincennes Ave & 104th St
20125,Halsted St & 104th St
20126,S Aberdeen St & W 106th St
20127,Halsted St & 111th St
20128,S Wentworth Ave & W 111th St
20129,Ada St & 113th St
20130,Wentworth Ave & 104th St
20131,Cottage Grove Ave & 111th Pl
20133,Woodlawn & 103rd - Olive Harvey Vaccination Site
20134,Maryland Ave & 104th St
20201,Kedzie Ave & 104th St
20202,W 103rd St & S Avers Ave
20203,Lawndale Ave & 111th St
20204,Kedzie Ave & 110th St
20205,Western Ave & 111th St
20206,Homewood Ave & 115th St
20207,Major Taylor Trail & 115th St
20208,Major Taylor Trail & 124th St
20209,S Michigan Ave & E 118th St
20210,State St & 123rd St
20211,Eberhart Ave & 131st St
20212,Altgeld Gardens
20213,Commercial Ave & 130th St
20214,Avenue O & 134th St
20215,Hegewisch Metra Station
20215,NULL
20217,Torrence Ave & 126th Pl
20218,Avenue O & 118th St
20220,Avenue L & 114th St
20221,Torrence Ave & 106th St
20222,Burnham Greenway & 105th St
20223,Ewing Ave & Burnham Greenway
20224,Calumet Park
20225,Commercial Ave & 100th St
20226,Oglesby Ave & 100th St
20227,Bradley Park
20228,Constance Ave & 95th St
20229,Baltimore Ave & 87th St
20230,Clyde Ave & 87th St
20231,East End Ave & 87th St
20232,Big Marsh Park
20233,Halsted St & 78th St
20234,Ashland Ave & 78th St
20235,Greenwood Ave & 91st St
20236,Stony Island Ave & 90th St
20237,Yates Blvd & 93rd St
20238,Greenwood Ave & 97th St
20239,Marquette Ave & 89th St
20240,Indiana Ave & 133rd St
20242,Houston Ave & 92nd St
20243,Michigan Ave & 114th St
20244,Halsted St & 73rd St
20245,Ashland Ave & 74th St
20246,N Green St & W Lake St
20247,W Washington Blvd & N Peoria St
20248,N Hampden Ct & W Diversey Ave
20249,N Clark St & W Elm St
20251,N Carpenter St & W Lake St
20252,W Oakdale Ave & N Broadway
20253,N Paulina St & Lincoln Ave
20254,W Armitage Ave & N Sheffield Ave
20255,N Damen Ave & W Chicago Ave
20256,N Sheffield Ave & W Wellington Ave
20257,N Southport Ave & W Newport Ave
20258,N Damen Ave & W Wabansia St
20260,Ping Tom Park (East)
20999,Lyft Driver Center Private Rack
21544,State St & Chicago Ave
201022,Loomis St & 89th St
202480,Hampden Ct & Diversey Ave
DIVVY 001,WEST CHI-WATSON
DIVVY CASSETTE REPAIR MOBILE STATION,DIVVY CASSETTE REPAIR MOBILE STATION
E002,Chicago Ave & Washington St
E006,Central St Metra
E007,Central St & Girard Ave
E008,Chicago Ave & Sheridan Rd
E011,Chicago Ave & Dempster St
E011,Dodge Ave & Main St
E014,Lincolnwood Dr & Central St
Hubbard Bike-checking (LBS-WH-TEST),Base - 2132 W Hubbard Warehouse
Hubbard Bike-checking (LBS-WH-TEST),HUBBARD ST BIKE CHECKING (LBS-WH-TEST)
KA1503000001,Shields Ave & 43rd St
KA1503000002,South Shore Dr & 71st St
KA1503000003,Cottage Grove Ave & 71st St
KA1503000004,Lake Park Ave & 35th St
KA1503000005,Wentworth Ave & 35th St
KA1503000007,Cornell Ave & Hyde Park Blvd
KA1503000009,Princeton Ave & 47th St
KA1503000010,Halsted St & 51st St
KA1503000011,Halsted St & 56th St
KA1503000012,Clark St & Lake St
KA1503000013,Princeton Ave & Garfield Blvd
